"","CheckpointID","SimulationID","Zone","Clock.Today","Soybean.Phenology.Stage","Soybean.Phenology.CurrentStageName","Soybean.AboveGround.Wt","Bushels","Yield","Soybean.Grain.Total.Wt","AdjBushels","Date"
"1",1,1,"field","1985-01-01 12:00:00",1,"",0,0,0,0,15,1985-01-01
"2",1,1,"field","1985-01-02 12:00:00",1,"",0,0,0,0,15,1985-01-02
"3",1,1,"field","1985-01-03 12:00:00",1,"",0,0,0,0,15,1985-01-03
"4",1,1,"field","1985-01-04 12:00:00",1,"",0,0,0,0,15,1985-01-04
"5",1,1,"field","1985-01-05 12:00:00",1,"",0,0,0,0,15,1985-01-05
"6",1,1,"field","1985-01-06 12:00:00",1,"",0,0,0,0,15,1985-01-06
"7",1,1,"field","1985-01-07 12:00:00",1,"",0,0,0,0,15,1985-01-07
"8",1,1,"field","1985-01-08 12:00:00",1,"",0,0,0,0,15,1985-01-08
"9",1,1,"field","1985-01-09 12:00:00",1,"",0,0,0,0,15,1985-01-09
"10",1,1,"field","1985-01-10 12:00:00",1,"",0,0,0,0,15,1985-01-10
"11",1,1,"field","1985-01-11 12:00:00",1,"",0,0,0,0,15,1985-01-11
"12",1,1,"field","1985-01-12 12:00:00",1,"",0,0,0,0,15,1985-01-12
"13",1,1,"field","1985-01-13 12:00:00",1,"",0,0,0,0,15,1985-01-13
"14",1,1,"field","1985-01-14 12:00:00",1,"",0,0,0,0,15,1985-01-14
"15",1,1,"field","1985-01-15 12:00:00",1,"",0,0,0,0,15,1985-01-15
"16",1,1,"field","1985-01-16 12:00:00",1,"",0,0,0,0,15,1985-01-16
"17",1,1,"field","1985-01-17 12:00:00",1,"",0,0,0,0,15,1985-01-17
"18",1,1,"field","1985-01-18 12:00:00",1,"",0,0,0,0,15,1985-01-18
"19",1,1,"field","1985-01-19 12:00:00",1,"",0,0,0,0,15,1985-01-19
"20",1,1,"field","1985-01-20 12:00:00",1,"",0,0,0,0,15,1985-01-20
"21",1,1,"field","1985-01-21 12:00:00",1,"",0,0,0,0,15,1985-01-21
"22",1,1,"field","1985-01-22 12:00:00",1,"",0,0,0,0,15,1985-01-22
"23",1,1,"field","1985-01-23 12:00:00",1,"",0,0,0,0,15,1985-01-23
"24",1,1,"field","1985-01-24 12:00:00",1,"",0,0,0,0,15,1985-01-24
"25",1,1,"field","1985-01-25 12:00:00",1,"",0,0,0,0,15,1985-01-25
"26",1,1,"field","1985-01-26 12:00:00",1,"",0,0,0,0,15,1985-01-26
"27",1,1,"field","1985-01-27 12:00:00",1,"",0,0,0,0,15,1985-01-27
"28",1,1,"field","1985-01-28 12:00:00",1,"",0,0,0,0,15,1985-01-28
"29",1,1,"field","1985-01-29 12:00:00",1,"",0,0,0,0,15,1985-01-29
"30",1,1,"field","1985-01-30 12:00:00",1,"",0,0,0,0,15,1985-01-30
"31",1,1,"field","1985-01-31 12:00:00",1,"",0,0,0,0,15,1985-01-31
"32",1,1,"field","1985-02-01 12:00:00",1,"",0,0,0,0,15,1985-02-01
"33",1,1,"field","1985-02-02 12:00:00",1,"",0,0,0,0,15,1985-02-02
"34",1,1,"field","1985-02-03 12:00:00",1,"",0,0,0,0,15,1985-02-03
"35",1,1,"field","1985-02-04 12:00:00",1,"",0,0,0,0,15,1985-02-04
"36",1,1,"field","1985-02-05 12:00:00",1,"",0,0,0,0,15,1985-02-05
"37",1,1,"field","1985-02-06 12:00:00",1,"",0,0,0,0,15,1985-02-06
"38",1,1,"field","1985-02-07 12:00:00",1,"",0,0,0,0,15,1985-02-07
"39",1,1,"field","1985-02-08 12:00:00",1,"",0,0,0,0,15,1985-02-08
"40",1,1,"field","1985-02-09 12:00:00",1,"",0,0,0,0,15,1985-02-09
"41",1,1,"field","1985-02-10 12:00:00",1,"",0,0,0,0,15,1985-02-10
"42",1,1,"field","1985-02-11 12:00:00",1,"",0,0,0,0,15,1985-02-11
"43",1,1,"field","1985-02-12 12:00:00",1,"",0,0,0,0,15,1985-02-12
"44",1,1,"field","1985-02-13 12:00:00",1,"",0,0,0,0,15,1985-02-13
"45",1,1,"field","1985-02-14 12:00:00",1,"",0,0,0,0,15,1985-02-14
"46",1,1,"field","1985-02-15 12:00:00",1,"",0,0,0,0,15,1985-02-15
"47",1,1,"field","1985-02-16 12:00:00",1,"",0,0,0,0,15,1985-02-16
"48",1,1,"field","1985-02-17 12:00:00",1,"",0,0,0,0,15,1985-02-17
"49",1,1,"field","1985-02-18 12:00:00",1,"",0,0,0,0,15,1985-02-18
"50",1,1,"field","1985-02-19 12:00:00",1,"",0,0,0,0,15,1985-02-19
"51",1,1,"field","1985-02-20 12:00:00",1,"",0,0,0,0,15,1985-02-20
"52",1,1,"field","1985-02-21 12:00:00",1,"",0,0,0,0,15,1985-02-21
"53",1,1,"field","1985-02-22 12:00:00",1,"",0,0,0,0,15,1985-02-22
"54",1,1,"field","1985-02-23 12:00:00",1,"",0,0,0,0,15,1985-02-23
"55",1,1,"field","1985-02-24 12:00:00",1,"",0,0,0,0,15,1985-02-24
"56",1,1,"field","1985-02-25 12:00:00",1,"",0,0,0,0,15,1985-02-25
"57",1,1,"field","1985-02-26 12:00:00",1,"",0,0,0,0,15,1985-02-26
"58",1,1,"field","1985-02-27 12:00:00",1,"",0,0,0,0,15,1985-02-27
"59",1,1,"field","1985-02-28 12:00:00",1,"",0,0,0,0,15,1985-02-28
"60",1,1,"field","1985-03-01 12:00:00",1,"",0,0,0,0,15,1985-03-01
